unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
18939,cydno,cydno cydnides Heliconius,,,,macho,Calima Rio COL VC,,,m,,,1983,,FLMNH,,Samuel Landrian,,3.933333333,-76.51666667,Brown
29164,cydno,cydno cydnides Heliconius,,,,descononcido,Roldanillo COL VC,,,m,,,,,KB 1979,,NEIL ROSSER,,4.414722222,-76.15472222,Geonames
33521,cydno,cydno cydnides Heliconius,,,,macho,"Yotoco (just outside the reserve), COL VC",1640,1640,m,7,4,1998,,Jiggins,,NEIL ROSSER,,3.888888889,-76.43305556,CJ
33522,cydno,cydno cydnides Heliconius,,,,hembra,"Yotoco (just outside the reserve), COL VC",1640,1640,m,7,4,1998,,Jiggins,,NEIL ROSSER,,3.888888889,-76.43305556,CJ
33523,cydno,cydno cydnides Heliconius,,,,macho,"Yotoco (just outside the reserve), COL VC",1640,1640,m,7,4,1998,,Jiggins,,NEIL ROSSER,,3.888888889,-76.43305556,CJ
33524,cydno,cydno cydnides Heliconius,,,,hembra,"Yotoco (just outside the reserve), COL VC",1640,1640,m,7,4,1998,,Jiggins,,NEIL ROSSER,,3.888888889,-76.43305556,CJ
33525,cydno,cydno cydnides Heliconius,,,,hembra,"Yotoco (just outside the reserve), COL VC",1640,1640,m,7,4,1998,,Jiggins,,NEIL ROSSER,,3.888888889,-76.43305556,CJ
33526,cydno,cydno cydnides Heliconius,,,,macho,"Yotoco (just outside the reserve), COL VC",1640,1640,m,7,4,1998,,Jiggins,,NEIL ROSSER,,3.888888889,-76.43305556,CJ
33527,cydno,cydno cydnides Heliconius,,,,macho,"Yotoco (just outside the reserve), COL VC",1640,1640,m,8,6,1998,,Jiggins,,NEIL ROSSER,,3.888888889,-76.43305556,CJ
33528,cydno,cydno cydnides Heliconius,,,,macho,"Yotoco (just outside the reserve), COL VC",1640,1640,m,7,4,1998,,Jiggins,,NEIL ROSSER,,3.888888889,-76.43305556,CJ
