unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
18784,cydno,cydno zelinde Heliconius,,,,macho,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
18785,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18786,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18787,cydno,cydno zelinde Heliconius,,,,macho,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
18788,cydno,cydno zelinde Heliconius,,,,hembra,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
18789,cydno,cydno zelinde Heliconius,,,,macho,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
18790,cydno,cydno zelinde Heliconius,,,zelinde x cydnides,hembra,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
18791,cydno,cydno zelinde Heliconius,,,,macho,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
18792,cydno,cydno zelinde Heliconius,,,,hembra,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
18793,cydno,cydno zelinde Heliconius,,,,macho,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
18794,cydno,cydno zelinde Heliconius,,,,hembra,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
18795,cydno,cydno zelinde Heliconius,,,,macho,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
